w,l,wl,srs_adj,sos_adj,pts_for,pts_vs,pts_total,ap_pre_adj,ap_high_adj,ap_final_adj,pts_diff_adj,ncaa_adj
30,10,0.75,56.15,23.01,70.4,58.7,129.1,0.733,0.933,0.5,38.4,0.741
30,5,0.857,54.85,22.62,80.2,68.3,148.5,0.567,0.9,0.7,38.6,0.741
36,3,0.923,56.54,22.98,69.9,57.8,127.7,0.7,1,1,38.8,0.741
33,5,0.868,58.47,25.33,71.7,59.5,131.2,0.867,0.967,0.967,38.9,0.741
35,2,0.946,57.23,23.36,74.8,62.4,137.2,0.8,1,1,39.1,0.741
25,11,0.694,59.67,25.43,85.2,72.4,157.6,0.867,0.867,0.667,39.5,0.741
26,7,0.788,56.32,21.85,78.5,65.4,143.9,0.6,0.7,0.533,39.8,0.741
31,5,0.861,56.89,22.14,78,64.6,142.6,0.2,0.933,0.933,40.1,0.741
31,5,0.861,58.02,23.01,78.3,64.3,142.6,0.967,1,0.867,40.7,0.741
35,4,0.897,57.56,22.15,73.5,59,132.5,0.967,0.967,0.933,41.2,0.741
31,4,0.886,56.7,21.67,77.1,62.5,139.6,0.2,0.9,0.9,41.3,0.741
31,6,0.838,61.52,25.3,79.8,65,144.8,0.967,1,0.833,41.5,0.741
31,8,0.795,59.8,23.51,74.7,59.8,134.5,0.933,0.967,0.8,41.6,0.741
31,4,0.886,59.2,23.64,78.3,63.4,141.7,0.3,0.967,0.933,41.6,0.741
28,5,0.848,60.97,23.98,77.4,61.8,139.2,0.933,1,0.933,42.3,0.741
36,3,0.923,60.02,22.56,88.6,72.5,161.1,1,1,1,42.8,0.741
33,4,0.892,60.23,23.79,90.9,74.7,165.6,0.8,1,0.967,42.9,0.741
34,4,0.895,62.52,24.82,81.9,65.6,147.5,0.9,1,1,43,0.741
33,5,0.868,58.42,20.62,80.7,64.1,144.8,0.567,0.9,0.9,43.3,0.741
38,1,0.974,64.57,23.11,74.4,54.3,128.7,1,1,1,46.8,0.741
20,13,0.606,50.14,24.64,72.1,68,140.1,0,0,0,30.8,0.625
24,11,0.686,47.61,22.06,71.5,67.3,138.8,0,0.333,0,30.9,0.625
26,9,0.743,47.86,22.2,75.2,70.9,146.1,0,0.833,0.2,31,0.625
24,12,0.667,49.95,24.01,75.1,70.6,145.7,0.4,0.467,0,31.2,0.625
26,11,0.703,46.4,19.78,72.2,67,139.2,0,0.2,0,31.9,0.625
26,9,0.743,49.89,23.02,68.1,62.6,130.7,0,0.533,0.533,32.2,0.625
24,10,0.706,52.38,25.27,77.1,71.2,148.3,0.267,0.633,0,32.6,0.625
24,8,0.75,52.33,24.73,79.9,73.8,153.7,0.867,0.867,0.8,32.8,0.625
25,9,0.735,48.43,20.87,77.7,71.6,149.3,0.333,0.367,0,32.8,0.625
22,13,0.629,51.97,24.16,67.6,61.2,128.8,0.733,0.733,0,33.1,0.625
24,12,0.667,50.03,22.76,76.5,70.1,146.6,0,0,0,33.1,0.625
24,13,0.649,52.05,24.21,70.4,63.9,134.3,0,0.467,0,33.2,0.625
25,9,0.735,52.61,24.05,67.4,60.2,127.6,0.333,0.433,0.367,33.9,0.625
24,12,0.667,50.07,21.25,79.9,72.5,152.4,0.767,0.967,0,34.1,0.625
26,6,0.813,54.11,25.17,68.9,61.3,130.2,0.667,0.833,0.733,34.3,0.625
24,10,0.706,52.72,24,73.7,66.1,139.8,0.267,0.4,0.2,34.3,0.625
26,11,0.703,49.69,20.28,71.2,63.2,134.4,0,0,0,34.7,0.625
24,11,0.686,52.9,23.41,66.6,58.5,125.1,0.8,0.833,0,34.8,0.625
28,9,0.757,51.9,22.19,73.5,65.2,138.7,0.7,0.767,0.533,35,0.625
30,8,0.789,52.39,22.43,76.4,67.9,144.3,0,0.7,0.467,35.2,0.625
24,9,0.727,52.95,23.88,75.8,67.2,143,0.833,1,0.5,35.3,0.625
27,7,0.794,51.87,21.87,77.8,69.2,147,0,0.7,0.7,35.3,0.625
29,8,0.784,54.72,24.59,77.5,68.8,146.3,0.767,0.833,0.8,35.4,0.625
29,8,0.784,52.12,22.01,72.1,63.4,135.5,0.733,0.733,0.533,35.4,0.625
28,9,0.757,54.37,24.09,73.9,65.1,139,0.8,0.8,0.8,35.5,0.625
27,9,0.75,53.97,23.42,69,59.8,128.8,0.767,0.9,0.467,35.9,0.625
30,8,0.789,52.39,22.47,74.7,65.3,140,0.633,0.933,0.733,36.1,0.625
29,8,0.784,51.8,20.74,75.9,66.2,142.1,0,0.8,0.7,36.4,0.625
29,9,0.763,55.2,23.82,75.5,65.6,141.1,0.967,1,0.667,36.6,0.625
31,7,0.816,53.9,23.08,78.7,68.8,147.5,0,0.867,0.867,36.6,0.625
29,8,0.784,55.73,24.72,79.7,69.8,149.5,0,0.867,0.8,36.6,0.625
30,7,0.811,53.85,22.47,79.7,69.7,149.4,0.7,0.767,0.733,36.7,0.625
